"district_id","district_name","block_id","block_name","cluster_id","cluster_name","school_id","school_name","school_management_id","total_students","students_reviewed","gujarati_udayman","gujarati_pragatishil","gujarati_nipun","maths_udayman","maths_pragatishil","maths_nipun"
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203340",LATE R.B.K.HINDI PRIMARY SCHOOL,5,91,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071204282",NIVEDITA VIDYA MANDIR,5,136,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203314",OM MURUGA ENG SCHOOL,5,111,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071204118",OM SHANTI  PRI. SCHOOL,5,228,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203816",PRAGATI HINDI PRI. SCHOOL,5,185,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203109",RAJPUR H - 5,10,141,120,58,47,15,59,45,16
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071204259",RASTRABHASHA VIDHYAVIHAR,5,220,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24070501771",R.T.(HINDI) PRIMARY SCHOOL,5,234,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24070609721",SHREE KASHIVIDHYA VIHAR HINDI PRATH. VIDYALAYA,5,331,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24070610406",SHREE KRISHNA HINDI PRIMARY SCHOOL,5,63,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203328",SHREMATI K. V.NAGAR  PRI SCH,5,109,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203215",ST.V.N PUBLIC SCHOOL,5,89,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203232",UTSAV HINDI PRI SCHOOL,5,98,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203346",VIVEKANAND HINDI PRI SCHOOL,5,398,0,0,0,0,0,0,0
